model,family,configuration,attempted_queries,expected_queries,valid_responses,ndcg_at_10,accuracy,avg_cost_cny,avg_latency_seconds,effective_success_rate,overall_score,avg_prompt_tokens,avg_completion_tokens,avg_reasoning_tokens,avg_cached_tokens,p50_latency_seconds,p95_latency_seconds,api_success_rate,failure_rate,unknown_cost_calls,known_cost_cny,accounted_and_reserved_cny,quality_first_score,economy_first_score,aiq,pareto_frontier,selection_status,failure_reasons,source
grok-4.5,Grok,none,12,12,11,0.608837229154698,0.5,0.5039267500000001,18.63541666666909,0.9166666666666666,44.540277196523036,,,,,18.047000000005937,32.64410000000061,1.0,0.08333333333333337,12,0.0,6.047121000000001,49.523045517119556,39.045701435592186,0.27504920833104657,False,未达晋级门槛,"{""invalid_ranking_format"": 1}",https://aihubmix.com/model/grok-4.5
minimax-m3,MiniMax,none,12,12,9,0.44136637114528765,0.3333333333333333,0.006879583333333335,3.534000000002076,0.75,41.974710734518005,2203.75,195.5,574,128,1.4060000000026776,11.397250000003254,1.0,0.25,0,0.08255001599999999,0.08255500000000002,41.20158397028405,41.73515322114919,14.07606512891928,False,未达晋级门槛,"{""invalid_ranking_format"": 3}",https://aihubmix.com/model/minimax-m3
minimax-m2.5,MiniMax,none,12,12,10,0.5637617871920568,0.4166666666666667,0.01639208333333333,24.033666666665038,0.8333333333333334,41.60151822870132,2104.818181818182,804.8181818181819,764.6363636363636,0,12.976000000009662,80.59124999999761,0.9166666666666666,0.16666666666666663,1,0.13493376,0.196705,45.325014274105826,38.22450241780989,7.476386877751381,False,未达晋级门槛,"{""invalid_ranking_format"": 1, ""transport_or_parse_error"": 1}",https://aihubmix.com/model/minimax-m2.5
nvidia-nemotron-3-super-120b-a12b,Nemotron,none,12,12,6,0.3462213633810656,0.3333333333333333,0.008727083333333335,6.91033333333083,0.5,33.47559902609621,2709.7,813.6,,,8.367499999993015,11.711900000016609,0.8333333333333334,0.5,2,0.059643760000000004,0.10472500000000003,33.993941564151925,32.942471042643575,9.733416520139397,False,未达晋级门槛,"{""http_error"": 2, ""invalid_ranking_format"": 4}",https://aihubmix.com/model/nvidia-nemotron-3-super-120b-a12b
kimi-k3,Kimi,none,12,12,4,0.27762645828686,0.25,0.5278303333333333,92.37508333333001,0.3333333333333333,20.42114686399703,2529.2,603.4,204.8,0,120.0394999999844,120.35120000000025,0.4166666666666667,0.6666666666666667,7,0.665544,6.333964,22.927343002942397,17.830378277187517,0.12495171861259236,False,未达晋级门槛,"{""invalid_ranking_format"": 1, ""transport_or_parse_error"": 7}",https://aihubmix.com/model/kimi-k3
minimax-m2.7,MiniMax,none,12,12,1,0.029246687540165597,0.0,0.01434125,17.562499999997573,0.08333333333333333,5.193925595759739,2057.8333333333335,1000.5833333333334,827,0,16.82050000000163,22.02670000000653,1.0,0.9166666666666666,0,0.1720893408,0.172095,3.8991524058002507,6.790915377792198,0.2549175241015043,False,未达晋级门槛,"{""invalid_ranking_format"": 11}",https://aihubmix.com/model/minimax-m2.7
qwen3.8-2.4t-a95b,Qwen,none,12,12,1,0.05164020845553935,0.0,0.08466266666666666,13.58208333333217,0.08333333333333333,4.139536421229895,2250.4166666666665,1013.6666666666666,,0,13.796999999991385,16.072949999991394,1.0,0.9166666666666666,0,1.015952,1.015952,3.513828619507459,4.176624920190367,0.07624406732139809,False,未达晋级门槛,"{""invalid_ranking_format"": 11}",https://aihubmix.com/model/qwen3.8-2.4t-a95b
glm-5.3-flash,GLM,none,9,12,8,0.5611216882488008,0.4444444444444444,0.0037225555555555553,13.387333333333824,0.8888888888888888,,2613.25,77.375,43.375,0,7.828000000008615,43.234799999993974,0.8888888888888888,0.11111111111111116,1,0.0207984744,0.033503,,,,,样本未完成,"{""http_error"": 1}",https://aihubmix.com/model/glm-5.3-flash
hy3,Hunyuan,none,12,12,0,0,0,0.00832075,10.964666666666744,0.0,,2562.4166666666665,1024,1022.75,0,10.343500000002678,13.416249999997671,1.0,1.0,0,0.09984428960000001,0.099849,,,,,无有效答复,"{""invalid_ranking_format"": 12}",https://aihubmix.com/model/hy3
kimi-k2.6,Kimi,none,12,12,0,0,0,0.05178733333333333,6.401000000002871,0.0,,2503,1024,,64,6.102000000013504,8.570050000002084,1.0,1.0,0,0.621440448,0.621448,,,,,无有效答复,"{""invalid_ranking_format"": 12}",https://aihubmix.com/model/kimi-k2.6
mercury-2.5-preview,Mercury,none,12,12,0,0,0,0.009448833333333332,2.239583333330908,0.0,,2165.8333333333335,997.1666666666666,997.1666666666666,0,2.2035000000032596,2.9546999999860413,1.0,1.0,0,0.11338000000000002,0.11338599999999999,,,,,无有效答复,"{""invalid_ranking_format"": 12}",https://aihubmix.com/model/mercury-2.5-preview
step-3.7-flash,Step,none,12,12,0,0,0,0.01508225,10.201916666669907,0.0,,2425.1666666666665,1024,0,0,9.9375,12.820099999989907,1.0,1.0,0,0.1809808,0.180987,,,,,无有效答复,"{""invalid_ranking_format"": 12}",https://aihubmix.com/model/step-3.7-flash
