case_id,scenario,condition,arm,run_status,model_calls,tool_calls,input_tokens,output_tokens,accounted_and_reserved_cny,latency_seconds,delegations,task_completed,business_success,required_evidence_covered,constraint_violation,failure_reasons,evidence_gaps
SCREP-order_clarification,order_clarification,neither,on_demand,completed,4,1,11087,646,0.023942,15.703,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,neither,single,completed,2,1,4439,287,0.009858,8.64,0,True,True,True,False,,
SCREP-order_ready,order_ready,bootstrap,coordinator,completed,9,5,38573,1695,0.077993,39.563,2,True,True,True,False,,
SCREP-order_ready,order_ready,bootstrap,on_demand,completed,5,4,18550,595,0.035395,15.735,0,True,True,True,False,,
SCREP-order_ready,order_ready,bootstrap,single,completed,4,4,13878,441,0.02644,11.188,0,True,True,True,False,,
SCREP-order_ready,order_ready,both,coordinator,completed,6,4,21771,1122,0.045606,27.235,1,True,True,True,False,,
SCREP-order_ready,order_ready,both,on_demand,completed,6,4,23195,937,0.046108,17.047,0,True,True,True,False,,
SCREP-order_ready,order_ready,both,single,completed,4,4,13876,470,0.026716,11.906,0,True,True,True,False,,
SCREP-order_ready,order_ready,guard,coordinator,completed,6,4,20053,1222,0.043819,28.219,1,True,True,True,False,,
SCREP-order_ready,order_ready,guard,on_demand,completed,6,4,23744,1026,0.047843,19.391,0,True,True,True,False,,
SCREP-order_ready,order_ready,guard,single,completed,6,4,21002,968,0.042898,18.968,0,True,True,True,False,,
SCREP-order_ready,order_ready,neither,coordinator,completed,6,4,21134,1169,0.045039,38.078,1,True,True,True,False,,
SCREP-order_ready,order_ready,neither,on_demand,completed,6,4,19939,626,0.037914,17.671,0,True,True,True,False,,
SCREP-order_ready,order_ready,neither,single,completed,5,4,18710,914,0.038713,18.562,0,True,True,True,False,,
SCREP-product_info,product_info,bootstrap,coordinator,completed,4,2,11949,540,0.024304,12.359,1,True,True,True,False,,
SCREP-product_info,product_info,bootstrap,on_demand,completed,3,3,11556,415,0.022474,17.891,0,True,True,True,False,,
SCREP-product_info,product_info,bootstrap,single,completed,2,2,5937,261,0.012005,8.734,0,True,True,True,False,,
SCREP-product_info,product_info,both,coordinator,completed,4,2,12108,624,0.025365,21.453,1,True,True,True,False,,
SCREP-product_info,product_info,both,on_demand,completed,3,3,11570,415,0.022497,11.703,0,True,True,True,False,,
SCREP-product_info,product_info,both,single,completed,2,2,5937,285,0.012236,10.829,0,True,True,True,False,,
SCREP-product_info,product_info,guard,coordinator,completed,4,1,9248,596,0.02052,18.25,1,True,True,True,False,,
SCREP-product_info,product_info,guard,on_demand,completed,3,2,9455,465,0.019593,11.547,0,True,True,True,False,,
SCREP-product_info,product_info,guard,single,completed,2,1,4535,241,0.009571,17.031,0,True,True,True,False,,
SCREP-product_info,product_info,neither,coordinator,completed,4,1,9214,496,0.019505,16.062,1,True,True,True,False,,
SCREP-product_info,product_info,neither,on_demand,completed,3,2,9461,508,0.020015,11.657,0,True,True,True,False,,
SCREP-product_info,product_info,neither,single,completed,2,1,4535,280,0.009945,7.766,0,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,bootstrap,coordinator,completed,5,2,16723,1299,0.03923,26.14,2,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,bootstrap,on_demand,completed,3,3,11731,492,0.023494,11.047,0,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,bootstrap,single,completed,2,2,5996,305,0.012522,8.703,0,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,both,coordinator,completed,4,2,12445,612,0.025789,15.453,1,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,both,on_demand,completed,3,2,10073,357,0.019545,10.235,0,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,both,single,completed,2,3,6769,356,0.014249,9.781,0,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,guard,coordinator,completed,4,2,11553,890,0.02703,20.219,1,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,guard,on_demand,completed,3,2,9515,386,0.018931,10.844,0,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,guard,single,completed,2,2,5285,379,0.012095,8.672,0,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,neither,coordinator,completed,6,2,17328,1355,0.040735,25.969,2,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,neither,on_demand,completed,3,1,7825,266,0.015075,9.109,0,True,True,True,False,,
SCREP-rule_blocked,rule_blocked,neither,single,completed,2,2,5285,379,0.012095,8.907,0,True,True,True,False,,
SCREP-shipping_infeasible,shipping_infeasible,bootstrap,coordinator,completed,7,4,29910,1674,0.06393,32.843,2,True,True,True,False,,
