locale,queries,pairs,method,ndcg_at_10,ndcg_all,mrr_exact,hit_exact_at_1
all,14496,336373,bm25_candidate_pool,0.6878464227891369,0.823580659707417,0.7508874979484434,0.6194812362030905
all,14496,336373,qwen_reranker,0.7607773070593775,0.8657372682603034,0.834845390934546,0.7400662251655629
us,8956,181701,bm25_candidate_pool,0.6997129283426815,0.8229526197589029,0.7497257948245049,0.6142251004912908
us,8956,181701,qwen_reranker,0.7618852712991144,0.8601319182758786,0.825243434882929,0.7246538633318446
es,2417,65883,bm25_candidate_pool,0.6742175733402209,0.8207288639074023,0.7530916016065866,0.6350848158874638
es,2417,65883,qwen_reranker,0.7560972495292175,0.8674569987596319,0.843488392461094,0.7629292511377741
jp,3123,88789,bm25_candidate_pool,0.6643640357832077,0.8275888301292954,0.7525131446459333,0.622478386167147
jp,3123,88789,qwen_reranker,0.7612219984840692,0.8804810805701436,0.8556923277608726,0.7665706051873199
